ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"116.102.244.96","elite","AS7552","VN","Viettel Corporation","485","Viettel Group","5678","socks4","4600","1","2023-09-30T11:25:57.535Z","56","2290","4121"
"43.135.161.203","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","196","Tencent Cloud Computing","443","socks4","133","1","2023-09-30T11:25:57.447Z","76","3093","4083"
"45.112.125.59","elite","AS58369","ID","FIBERNET","221","N/A","4145","socks4","4708","1","2023-09-30T11:25:52.139Z","99","4114","4153"
"128.90.171.207","elite","AS22363","RO","Powerhouse Management, Inc.","149","Unus, Inc.","8118","socks4","4993","1","2023-09-30T11:25:52.051Z","2","78","4116"
"115.240.101.49","elite","AS55836","IN","Reliance Jio Infocomm Limited","156","Reliance Jio Infocomm Limited","5678","socks4","5014","1","2023-09-30T11:25:52.137Z","99","4045","4088"
"154.197.128.161","elite","AS135097","HK","LUOGELANG (FRANCE) LIMITED","185","Shenzhen Jizhan Technology Co., Ltd.","3128","socks5","5099","2","2023-09-30T11:25:52.049Z","99","4029","4054"
"161.35.229.155","elite","AS14061","US","DigitalOcean, LLC","200","DigitalOcean, LLC","61658","socks5","4799","1","2023-09-30T11:25:52.149Z","100","4112","4114"
"51.222.29.254","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","47103","socks4","4988","1","2023-09-30T11:25:52.151Z","100","4061","4071"
"89.19.177.197","elite","AS15582","RU","OJSC Comcor","58","JSC AKADO-Stolitsa","1080","socks5","415","1","2023-09-30T11:25:52.150Z","91","3696","4050"
"94.198.213.252","elite","AS49979","IT","La Wireless","51","N/A","5678","socks4","4492","1","2023-09-30T11:25:52.135Z","100","4126","4136"
"100.4.50.233","elite","AS701","US","Verizon Communications","95","MCI Communications Services, Inc. d/b/a Verizon Business","8080","socks5","4711","1","2023-09-30T11:25:46.938Z","100","4080","4086"
"177.70.66.49","elite","AS262544","BR","RazaoInfo Internet Ltda","222","RazaoInfo Internet Ltda","4145","socks4","4108","84","2023-09-30T11:25:46.935Z","100","4050","4070"
"185.238.159.9","elite","AS204809","IT","Maide srl","86","Assopctech","32456","socks4","4900","1","2023-09-30T11:25:46.848Z","41","1704","4191"
"82.196.25.134","elite","AS30781","FR","Datacenter DZ","8","Datacenter DZD","7497","socks5","4783","1","2023-09-30T11:25:46.949Z","100","4148","4149"
"38.127.172.35","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","4588","1","2023-09-30T11:25:46.948Z","100","3959","3967"
"103.235.198.17","elite","AS4007","NP","CCNEP","381","N/A","5678","socks4","290","1","2023-09-30T11:25:41.744Z","42","1713","4079"
"61.7.138.71","elite","AS131090","TH","CAT Telecom Public Company Limited","210","National Telecom Public Company Limited","4145","socks4","4298","1","2023-09-30T11:25:41.743Z","86","3465","4009"
"89.218.152.146","elite","AS9198","KZ","JSC Kazakhtelecom","107","Tookorkem","1080","socks4","4713","1","2023-09-30T11:25:41.837Z","71","2918","4107"
"23.94.73.246","elite","AS36352","US","ColoCrossing","145","RackNerd LLC","1080","socks4","5104","1","2023-09-30T11:25:41.738Z","87","3574","4110"
